#Data tag : v2 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
306926:6404,67:67,11/21/17 17:06:25,STABLE BEAMS,6500,125083.169,38237.165,51.3,HFET
306926:6404,68:68,11/21/17 17:06:48,STABLE BEAMS,6500,125100.140,81054.075,51.3,HFET
306926:6404,69:69,11/21/17 17:07:12,STABLE BEAMS,6500,124778.531,81002.916,51.1,HFET
306926:6404,70:70,11/21/17 17:07:35,STABLE BEAMS,6500,124698.964,81037.043,51.1,HFET
306926:6404,71:71,11/21/17 17:07:58,STABLE BEAMS,6500,124590.817,81052.695,51.1,HFET
306926:6404,72:72,11/21/17 17:08:22,STABLE BEAMS,6500,124406.500,81205.006,51.0,HFET
306926:6404,73:73,11/21/17 17:08:45,STABLE BEAMS,6500,124231.992,82530.696,50.9,HFET
306926:6404,74:74,11/21/17 17:09:08,STABLE BEAMS,6500,124083.325,82802.036,50.9,HFET
306926:6404,75:75,11/21/17 17:09:32,STABLE BEAMS,6500,123879.491,82877.916,50.8,HFET
306926:6404,76:76,11/21/17 17:09:55,STABLE BEAMS,6500,123808.275,82010.152,50.7,HFET
306926:6404,77:77,11/21/17 17:10:18,STABLE BEAMS,6500,123695.725,114149.875,50.7,HFET
306926:6404,78:78,11/21/17 17:10:42,STABLE BEAMS,6500,123455.514,110948.833,50.6,HFET
306926:6404,79:79,11/21/17 17:11:05,STABLE BEAMS,6500,123368.738,114833.708,50.6,HFET
306926:6404,80:80,11/21/17 17:11:28,STABLE BEAMS,6500,123177.108,115834.925,50.5,HFET
306926:6404,81:81,11/21/17 17:11:51,STABLE BEAMS,6500,122985.872,112255.042,50.4,HFET
306926:6404,82:82,11/21/17 17:12:15,STABLE BEAMS,6500,122867.527,115841.428,50.4,HFET
306926:6404,83:83,11/21/17 17:12:38,STABLE BEAMS,6500,122484.376,115162.678,50.2,HFET
306926:6404,84:84,11/21/17 17:13:01,STABLE BEAMS,6500,122773.386,115575.162,50.3,HFET
306926:6404,85:85,11/21/17 17:13:25,STABLE BEAMS,6500,122498.639,77914.476,50.2,HFET
306929:6404,1:1,11/21/17 17:36:48,STABLE BEAMS,6500,115074.530,109251.354,47.2,HFET
306929:6404,2:2,11/21/17 17:37:11,STABLE BEAMS,6500,111878.444,108449.201,45.9,HFET
306929:6404,3:3,11/21/17 17:37:35,STABLE BEAMS,6500,87437.861,86206.298,35.8,HFET
306929:6404,4:4,11/21/17 17:37:58,STABLE BEAMS,6500,54121.009,52711.175,22.2,HFET
306929:6404,5:5,11/21/17 17:38:21,STABLE BEAMS,6500,26397.679,25711.296,10.8,HFET
306929:6404,6:6,11/21/17 17:38:44,STABLE BEAMS,6500,11222.074,9249.360,4.6,HFET
306929:6404,7:7,11/21/17 17:39:08,STABLE BEAMS,6500,6230.382,4480.114,2.6,PLTZERO
306929:6404,8:8,11/21/17 17:39:31,STABLE BEAMS,6500,5482.021,3870.662,2.2,PLTZERO
306929:6404,9:9,11/21/17 17:39:54,STABLE BEAMS,6500,4804.580,3308.085,2.0,PLTZERO
306929:6404,10:10,11/21/17 17:40:18,STABLE BEAMS,6500,4948.247,3429.115,2.0,PLTZERO
306929:6404,11:11,11/21/17 17:40:41,STABLE BEAMS,6500,5096.928,3532.585,2.1,PLTZERO
306929:6404,12:12,11/21/17 17:41:04,STABLE BEAMS,6500,5228.552,3638.212,2.1,PLTZERO
306929:6404,13:13,11/21/17 17:41:28,STABLE BEAMS,6500,5442.540,3823.127,2.2,PLTZERO
306929:6404,14:14,11/21/17 17:41:51,STABLE BEAMS,6500,5564.657,3932.200,2.3,PLTZERO
